Unnamed: 0,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,time_signature_clean,genre_group,artist_normalized,genre_simplifié,origine
,Famous Dex,"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",0n22yqkitWec0PV6tibWEO,70,0.235,0.68,230408,0.732,0.000174,A#,0.0705,-7.108,Minor,0.27,75.422,4/4,0.864,,à catégoriser,Famous Dex,rap,remplacé_RAP_classique
,Drake,Houstatlantavegas,3XLSlQLJf3Ut0zvMUxnF1h,70,0.393,0.683,290791,0.695,0.00124,C#,0.124,-6.798,Minor,0.0574,135.337,4/4,0.406,,à catégoriser,Drake,rap,remplacé_RAP_classique
,NF,Therapy Session,6WKk8l8EXiwPBYlmSlhZWx,70,0.281,0.693,331480,0.783,0.0,G#,0.392,-6.582,Major,0.172,109.919,4/4,0.458,,à catégoriser,NF,rap,remplacé_RAP_classique
,Chevelle,The Red,1gyee1JuFFiP476LQpRMYU,70,0.000671,0.509,238400,0.843,0.000803,C#,0.348,-3.318,Minor,0.0488,140.055,3/4,0.332,,à catégoriser,Chevelle,rap,remplacé_RAP_classique
,Rae Sremmurd,CLOSE (feat. Travis Scott) - From SR3MM,1oUudyBYVGMIC8JXeIsFzq,70,0.104,0.691,193510,0.736,0.0,C,0.111,-4.993,Major,0.0321,140.034,4/4,0.0395,,à catégoriser,Rae Sremmurd,rap,remplacé_RAP_classique
,J. Cole,She Knows,282L6SR4Y8Rs0VUgtEy1Zw,70,0.0192,0.766,296520,0.739,0.0794,C#,0.229,-10.364,Major,0.0805,118.005,4/4,0.185,,à catégoriser,J. Cole,rap,remplacé_RAP_classique
,Gucci Mane,Kept Back (feat. Lil Pump) - Bonus Track,384Oc8MQzITdL2DGyCeivN,70,0.0713,0.907,177652,0.637,0.0,A#,0.0816,-5.498,Major,0.117,130.012,4/4,0.496,,à catégoriser,Gucci Mane,rap,remplacé_RAP_classique
,Chingy,Right Thurr,0l3GEbH3CviUytD6iX4wzg,70,0.15,0.866,249800,0.749,0.0,D,0.0591,-3.977,Major,0.253,92.077,4/4,0.891,,à catégoriser,Chingy,rap,remplacé_RAP_classique
,Drake,Forever,6HSqyfGnsHYw9MmIpa9zlZ,70,0.244,0.544,357347,0.92,0.0,F,0.19,-1.474,Minor,0.277,105.307,5/4,0.519,,à catégoriser,Drake,rap,remplacé_RAP_classique
,Cardi B,Bickenhead,17Yq72h0p15OhCbZ5lJ5gd,70,0.154,0.884,181624,0.814,1.67e-06,G,0.158,-5.333,Major,0.303,155.938,4/4,0.907,,à catégoriser,Cardi B,rap,remplacé_RAP_classique
